Query ID,Winner,BM25_nDCG@10,Dense_nDCG@10,Hybrid_RRF_nDCG@10,Hybrid_Rerank_nDCG@10
test_query101,Hybrid + Rerank,0.457957694513121,0.30701473034246535,0.36099027181348725,0.4736695902179647
test_query102,BM25,0.8643145546088337,0.7791714369672127,0.800693766409882,0.8236998933965709
test_query103,Hybrid (RRF),0.933745776545611,0.7917267193679839,0.9363792118010483,0.8701249883466593
test_query104,BM25,0.8630152897016883,0.7631925784528223,0.7859162856301584,0.6936634693435663
test_query105,BM25,1.0,1.0,1.0,0.857980942822373
test_query106,Hybrid (RRF),0.7162874455029682,0.627507133061656,0.835780413693672,0.8236998933965709
test_query107,Dense,0.933745776545611,1.0,1.0,1.0
test_query108,Dense,0.8701249883466593,1.0,1.0,0.9363792118010483
test_query109,BM25,0.2082936658103318,0.09478836436955078,0.09478836436955078,0.11004588314904008
test_query110,Dense,0.2489083270225946,0.5501126236272343,0.36680070555131283,0.3471357245055706
test_query111,Dense,0.5337225282363589,1.0,0.8603818544462509,1.0
test_query112,BM25,0.7125523635307982,0.06943122193677727,0.2781981696179509,0.6505132600483449
test_query113,Dense,0.7720617383222417,0.804810999209339,0.7385567757549499,0.7421246259355073
test_query114,Dense,0.40995091484653445,0.7605591431973849,0.5352543167750639,0.4885468020156227
test_query115,BM25,1.0,1.0,0.933745776545611,0.914856882358379
test_query116,Dense,0.9052116356304493,1.0,1.0,1.0
test_query117,Hybrid + Rerank,0.8200685179888283,0.8701249883466593,0.9216017310213247,1.0
test_query118,Hybrid (RRF),0.46158906992086357,0.5305455297539706,0.5423247252962317,0.37960256558331507
test_query119,Hybrid (RRF),0.8572048559638628,0.7289115290270202,1.0,0.8454256604216017
test_query120,Hybrid (RRF),0.4666234168001789,0.3398414932237254,0.4825387500873843,0.44773452261294694
test_query121,BM25,0.7975167679274937,0.5072380780124418,0.576669299949219,0.7065443116025598
test_query122,Hybrid (RRF),0.7859162856301584,0.9363792118010483,1.0,1.0
test_query123,Dense,0.8611375561264454,1.0,0.9266360779006401,0.933745776545611
